tag_id,tag_name,fullpath,tag_descrip,datasetcount,competitioncount,kernelcount
16611,pandas,packages > pandas,,532,0,89128
16612,pathlib,packages > pathlib,,1,0,13
16613,PIL,packages > PIL,,10,0,3092
16614,plotly,packages > plotly,,53,0,6953
16615,plyr,packages > plyr,,1,0,4
16616,randomForest,packages > randomForest,,11,0,768
16617,RColorBrewer,packages > RColorBrewer,,1,0,6
16618,re,packages > re,,9,0,37
16619,readr,packages > readr,,4,0,18
16620,reshape2,packages > reshape2,,1,0,5
16621,rpart,packages > rpart,,0,0,10
16622,scipy,packages > scipy,,16,0,3146
16623,seaborn,packages > seaborn,,106,0,35708
16624,sklearn,packages > sklearn,,156,0,12705
16625,stringr,packages > stringr,,2,0,6
16626,sys,packages > sys,,3,0,6
16627,tensorflow,packages > tensorflow,TensorFlow is an open source library for machine learning. It lets researchers push the state-of-the-art in ML and developers easily build and deploy ML applications.,374,1,14090
16628,tibble,packages > tibble,,3,0,7
16629,tidyr,packages > tidyr,,9,0,47
16630,tidyverse,packages > tidyverse,"A collection of R packages essential for data science. It includes ggplot2, dplyr, tidyr, readr, purrr, tibble, stringr, and forcats.",110,0,630
16631,pytorch,packages > pytorch,,258,0,2414
16632,torchvision,packages > torchvision,,28,0,1810
16633,tqdm,packages > tqdm,,2,0,415
16634,transformers,packages > transformers,,181,0,1850
16635,automl,technique > automl,The process of automating the end to end workflow of machine learning in order to make it more accessible for non-experts.,61,0,1365
16636,multilabel classification,technique > classification > multilabel classification,,131,3,500
16637,subject,subject,,2,0,14
16638,urban planning,subject > people and society > social science > urban planning,,49,0,19
16639,python,subject > science and technology > computer science > programming > python,,430,0,7924
16640,r,subject > science and technology > computer science > programming > r,,68,0,415
16641,sql,subject > science and technology > computer science > programming > sql,,46,0,376
16642,racial equity,subject > people and society > social issues and advocacy > racial equity,"Equal treatment, rights, and opportunity for all races regardless of the color of your skin",34,0,22
16643,ml ethics,subject > people and society > social issues and advocacy > ml ethics,"A study of the ethical implications of machine learning algorithms, such as unintended biases and discriminatory outputs",45,0,164
16663,middle east,geography and places > middle east,,52,0,11
16664,oceania,geography and places > oceania,,9,0,6
16665,greenland,geography and places > north america > greenland,,2,0,1
16667,scheduled,admin > scheduled,,1,0,2625
16668,pre-trained model,data type > pre-trained model,,12544,0,129
16669,synced dataset,admin > synced dataset,,0,0,0
